"","week","weekday","datetime","awayteam","hometeam"
"1","1710","Sunday","4PM","SEA","ARI"
"2","1710","Sunday","4PM","NEO","BUF"
"3","1710","Sunday","4PM","GRB","CHI"
"4","1710","Sunday","4PM","CLE","DET"
"5","1710","Sunday","4PM","CIN","TEN"
"6","1710","Sunday","4PM","PIT","IND"
"7","1710","Sunday","4PM","NYJ","TAB"
"8","1710","Sunday","4PM","MIN","WAS"
"9","1710","Sunday","4PM","LOAC","JAC"
"10","1710","Sunday","4PM","HOU","LOAR"
"11","1710","Sunday","4PM","DAL","ATL"
"12","1710","Sunday","4PM","NYG","SAF"
"13","1710","Sunday","4PM","NEE","DEN"
"14","1710","Sunday","4PM","MIA","CAR"
"15","1711","Sunday","4PM","TEN","PIT"
"16","1711","Sunday","4PM","DET","CHI"
"17","1711","Sunday","4PM","JAC","CLE"
"18","1711","Sunday","4PM","BAL","GRB"
"19","1711","Sunday","4PM","TAB","MIA"
"20","1711","Sunday","4PM","LOAR","MIN"
"21","1711","Sunday","4PM","WAS","NEO"
"22","1711","Sunday","4PM","KAC","NYG"
"23","1711","Sunday","4PM","ARI","HOU"
"24","1711","Sunday","4PM","BUF","LOAC"
"25","1711","Sunday","4PM","CIN","DEN"
"26","1711","Sunday","4PM","NEE","OAK"
"27","1711","Sunday","4PM","PHI","DAL"
"28","1711","Sunday","4PM","ATL","SEA"
"29","1712","Sunday","4PM","MIN","DET"
"30","1712","Sunday","4PM","LOAC","DAL"
"31","1712","Sunday","4PM","NYG","WAS"
"32","1712","Sunday","4PM","TAB","ATL"
"33","1712","Sunday","4PM","CLE","CIN"
"34","1712","Sunday","4PM","TEN","IND"
"35","1712","Sunday","4PM","BUF","KAC"
"36","1712","Sunday","4PM","MIA","NEE"
"37","1712","Sunday","4PM","CAR","NYJ"
"38","1712","Sunday","4PM","CHI","PHI"
"39","1712","Sunday","4PM","NEO","LOAR"
"40","1712","Sunday","4PM","SEA","SAF"
"41","1712","Sunday","4PM","DEN","OAK"
"42","1712","Sunday","4PM","JAC","ARI"
"43","1712","Sunday","4PM","GRB","PIT"
"44","1712","Sunday","4PM","HOU","BAL"
"45","1713","Sunday","4PM","WAS","DAL"
"46","1713","Sunday","4PM","MIN","ATL"
"47","1713","Sunday","4PM","NEE","BUF"
"48","1713","Sunday","4PM","SAF","CHI"
"49","1713","Sunday","4PM","TAB","GRB"
"50","1713","Sunday","4PM","HOU","TEN"
"51","1713","Sunday","4PM","DEN","MIA"
"52","1713","Sunday","4PM","CAR","NEO"
"53","1713","Sunday","4PM","KAC","NYJ"
"54","1713","Sunday","4PM","IND","JAC"
"55","1713","Sunday","4PM","DET","BAL"
"56","1713","Sunday","4PM","CLE","LOAC"
"57","1713","Sunday","4PM","NYG","OAK"
"58","1713","Sunday","4PM","LOAR","ARI"
"59","1713","Sunday","4PM","PHI","SEA"
"60","1713","Sunday","4PM","PIT","CIN"
