"","week","weekday","datetime","awayteam","hometeam"
"1","1601","Thursday","2016-09-08 20:30:00","CAR","DEN"
"2","1601","Sunday","2016-09-11 13:00:00","GRB","JAC"
"3","1601","Sunday","2016-09-11 13:00:00","BUF","BAL"
"4","1601","Sunday","2016-09-11 13:00:00","CHI","HOU"
"5","1601","Sunday","2016-09-11 13:00:00","CLE","PHI"
"6","1601","Sunday","2016-09-11 13:00:00","TAB","ATL"
"7","1601","Sunday","2016-09-11 13:00:00","MIN","TEN"
"8","1601","Sunday","2016-09-11 13:00:00","CIN","NYJ"
"9","1601","Sunday","2016-09-11 13:00:00","OAK","NEO"
"10","1601","Sunday","2016-09-11 13:00:00","SAD","KAC"
"11","1601","Sunday","2016-09-11 16:05:00","MIA","SEA"
"12","1601","Sunday","2016-09-11 16:25:00","DET","IND"
"13","1601","Sunday","2016-09-11 16:25:00","NYG","DAL"
"14","1601","Sunday","2016-09-11 20:30:00","NEE","ARI"
"15","1601","Monday","2016-09-12 19:10:00","PIT","WAS"
"16","1601","Monday","2016-09-12 22:20:00","LOA","SAF"
"17","1602","Thursday","2016-09-15 20:25:00","NYJ","BUF"
"18","1602","Sunday","2016-09-18 13:00:00","CIN","PIT"
"19","1602","Sunday","2016-09-18 13:00:00","TEN","DET"
"20","1602","Sunday","2016-09-18 13:00:00","BAL","CLE"
"21","1602","Sunday","2016-09-18 13:00:00","DAL","WAS"
"22","1602","Sunday","2016-09-18 13:00:00","NEO","NYG"
"23","1602","Sunday","2016-09-18 13:00:00","SAF","CAR"
"24","1602","Sunday","2016-09-18 13:00:00","MIA","NEE"
"25","1602","Sunday","2016-09-18 13:00:00","KAC","HOU"
"26","1602","Sunday","2016-09-18 16:05:00","SEA","LOA"
"27","1602","Sunday","2016-09-18 16:05:00","TAB","ARI"
"28","1602","Sunday","2016-09-18 16:25:00","JAC","SAD"
"29","1602","Sunday","2016-09-18 16:25:00","ATL","OAK"
"30","1602","Sunday","2016-09-18 16:25:00","IND","DEN"
"31","1602","Sunday","2016-09-18 20:30:00","GRB","MIN"
"32","1602","Monday","2016-09-19 20:30:00","PHI","CHI"
"33","1603","Thursday","2016-09-22 20:25:00","HOU","NEE"
"34","1603","Sunday","2016-09-25 13:00:00","ARI","BUF"
"35","1603","Sunday","2016-09-25 13:00:00","OAK","TEN"
"36","1603","Sunday","2016-09-25 13:00:00","CLE","MIA"
"37","1603","Sunday","2016-09-25 13:00:00","BAL","JAC"
"38","1603","Sunday","2016-09-25 13:00:00","DET","GRB"
